Positionarray,Intensity,Time,Bleachtimepoint
47.325,2102.891,,
47.533,2245.166,,
47.740,2211.881,,
47.948,2608.580,,
48.155,2833.661,,
48.363,2876.185,,
48.571,3300.853,,
48.778,3318.195,,
48.986,3078.716,,
49.193,2887.753,,
49.401,2835.591,,
49.608,2909.386,,
49.816,2893.015,,
50.024,2483.453,,
50.231,2269.783,,
50.439,2158.078,,
50.646,2277.741,,
50.854,2316.842,,
51.061,2269.302,,
51.269,2322.606,,
51.476,2235.494,,
51.684,2161.021,,
51.892,2085.992,,
52.099,1925.625,,
52.307,1905.301,,
52.514,1933.118,,
52.722,1935.319,,
52.929,1961.588,,
53.137,2165.358,,
53.345,2229.143,,
53.552,2163.301,,
53.760,2117.068,,
53.967,1883.684,,
54.175,1667.201,,
54.382,1699.190,,
54.590,1718.957,,
54.798,1707.768,,
55.005,1772.042,,
55.213,1618.976,,
55.420,1671.537,,
55.628,1681.777,,
55.835,1764.737,,
56.043,1964.156,,
56.251,1929.844,,
56.458,1680.389,,
56.666,1872.422,,
56.873,1740.919,,
57.081,1690.392,,
57.288,1546.174,,
57.496,1769.160,,
57.703,1833.484,,
57.911,1830.320,,
58.119,1663.946,,
58.326,1923.931,,
58.534,2246.658,,
58.741,1594.885,,
58.949,1675.316,,
59.156,1515.476,,
59.364,1482.273,,
59.572,1542.061,,
59.779,1928.367,,
59.987,1522.971,,
60.194,1748.330,,
60.402,1843.346,,
60.609,1791.778,,
60.817,1695.649,,
61.025,1583.066,,
61.232,1519.785,,
61.440,1679.769,,
61.647,1986.831,,
61.855,2030.441,,
62.062,1791.925,,
62.270,1688.387,,
62.478,1693.599,,
62.685,1598.997,,
62.893,1721.102,,
63.100,1543.997,,
63.308,1904.887,,
63.515,2046.347,,
63.723,2074.298,,
63.930,2078.807,,
64.138,2286.393,,
64.346,2233.019,,
64.553,2273.438,,
64.761,2166.523,,
64.968,2148.055,,
65.176,2068.439,,
65.383,1790.827,,
65.591,1718.958,,
65.799,1677.790,,
66.006,1860.145,,
66.214,1761.957,,
66.421,1591.014,,
66.629,1492.417,,
66.836,1468.872,,
67.044,1550.430,,
67.252,1761.590,,
67.459,1741.554,,
67.667,1511.612,,
67.874,1545.195,,
68.082,1438.703,,
68.289,1427.187,,
68.497,1413.266,,
68.704,1548.132,,
68.912,1599.382,,
69.120,1664.936,,
69.327,1675.351,,
69.535,1778.070,,
69.742,2037.559,,
69.950,2185.974,,
70.157,2466.651,,
70.365,2769.914,,
70.573,2790.712,,
70.780,2866.574,,
70.988,2999.754,,
71.195,3030.038,,
71.403,2891.887,,
71.610,2913.196,,
71.818,3078.682,,
72.026,3183.453,,
72.233,2993.556,,
72.441,3151.757,,
72.648,3133.090,,
72.856,3087.125,,
73.063,3042.296,,
73.271,2786.303,,
73.479,2860.801,,
,1218.714,,
,1139.654,,
,1177.631,,
,1247.181,,
,1410.673,,
,1553.532,,
,2078.716,,
,2255.159,,
,2078.106,,
,1997.021,,
,1630.793,,
,1516.518,,
,1481.296,,
,1395.594,,
,1328.014,,
,1246.388,,
,1008.755,,
,1249.052,,
,1365.563,,
,1333.488,,
,1286.456,,
,1477.720,,
,1496.456,,
,1358.061,,
,1360.152,,
,1421.070,,
,1371.311,,
,1441.894,,
,1441.978,,
,1342.716,,
,1199.291,,
,1174.904,,
,1253.332,,
,1466.341,,
,1297.939,,
,1181.676,,
,1091.358,,
,1512.995,,
,1554.542,,
,1848.074,,
,2412.171,,
,3028.898,,
,2968.611,,
,2717.995,,
,2866.404,,
,2566.333,,
,2698.393,,
,2224.306,,
,1835.219,,
,1633.957,,
,1545.316,,
,1582.255,,
,1414.958,,
,1644.897,,
,1754.330,,
,1836.459,,
,1926.931,,
,1653.156,,
,1737.487,,
,1732.203,,
,1518.654,,
,1439.015,,
,1329.709,,
,1409.330,,
,1489.839,,
,1452.807,,
,1449.241,,
,1412.520,,
,1312.976,,
,1447.347,,
,1472.176,,
,1664.974,,
,1784.008,,
,1644.322,,
,1550.306,,
,1613.579,,
,1695.780,,
,1795.823,,
,1832.207,,
,1705.227,,
,1441.407,,
,1597.795,,
,1576.597,,
,1526.151,,
,1557.992,,
,1356.146,,
,1574.442,,
,1533.336,,
,1442.693,,
,1435.830,,
,1532.900,,
,1593.756,,
,1475.480,,
,1294.823,,
,1452.062,,
,1333.687,,
,1358.583,,
,1192.145,,
,1223.274,,
,1180.569,,
,1256.426,,
,1391.704,,
,1374.076,,
,1301.183,,
,1513.014,,
,1570.976,,
,1722.580,,
,1697.359,,
,1810.233,,
,1986.280,,
,1970.462,,
,1896.126,,
,1783.109,,
,1693.155,,
,1621.533,,
,1417.489,,
,1483.389,,
,1441.647,,
,1223.521,,
,1250.075,,
,1390.268,,
,1192.392,,
,1246.962,,
,1324.425,,
,1177.954,,
,1259.664,,
,1348.236,,
,1622.592,,
,1946.042,,
,2460.566,,
,2861.181,,
,3208.074,,
,3348.029,,
,3342.371,,
,3443.904,,
,3065.752,,
,3162.834,,
,2850.348,,
,3034.806,,
,2913.126,,
,2846.840,,
,2748.468,,
,2648.760,,
,2605.851,,
,2570.975,,
,2594.866,,
,2714.963,,
,2636.809,,
,2429.821,,
,2130.097,,
,1907.414,,
,1866.533,,
,1918.774,,
,1913.182,,
,1764.501,,
,1861.486,,
,1962.355,,
,1881.934,,
,1875.575,,
,2068.074,,
,1940.313,,
,1773.562,,
,1812.982,,
,1949.363,,
,1906.605,,
,2156.445,,
,2137.756,,
,2152.340,,
,2146.639,,
,2164.906,,
,2213.711,,
,2143.969,,
,2090.088,,
,2313.691,,
,2194.911,,
,2241.096,,
,2056.990,,
,2086.987,,
,2005.310,,
,1831.980,,
,1582.882,,
,1772.378,,
,1904.016,,
,2178.341,,
,2185.980,,
,2052.653,,
,2289.195,,
,2628.764,,
,2617.222,,
,2662.515,,
,2312.933,,
,2401.251,,
,2317.219,,
,2366.944,,
,2711.444,,
,2951.133,,
,2635.447,,
,2565.849,,
,2228.831,,
,2209.030,,
,2484.452,,
,2553.939,,
,2626.455,,
,2589.882,,
,2444.487,,
,2700.658,,
,2412.300,,
,2438.327,,
,2659.556,,
,2655.732,,
,2671.347,,
,2483.563,,
,2407.278,,
,2373.969,,
,2211.584,,
,2273.780,,
,2053.244,,
,2347.536,,
,2251.441,,
,2314.509,,
,2220.832,,
,2069.060,,
,2043.179,,
,2035.453,,
,2129.636,,
,2035.906,,
,1937.504,,
,1915.410,,
,2117.869,,
,2302.029,,
,2343.466,,
,2611.768,,
,2916.576,,
,3084.844,,
,3450.353,,
,3410.108,,
,3286.564,,
,3157.250,,
,2950.072,,
,2972.695,,
,2802.458,,
,2528.073,,
,2573.506,,
,2260.467,,
,2279.703,,
,2351.314,,
,2340.420,,
,2353.292,,
,2378.223,,
,2079.450,,
,1962.514,,
,1920.862,,
,1791.748,,
,1831.748,,
,1802.958,,
,2066.982,,
,2084.984,,
,2111.261,,
,1870.976,,
,1738.176,,
,1793.136,,
,1668.042,,
,1701.568,,
,1654.821,,
,1725.790,,
,1799.115,,
,1600.545,,
,1735.266,,
,1663.528,,
,1863.305,,
,1826.130,,
,1890.185,,
,1709.537,,
,1707.422,,
,1731.080,,
,1600.642,,
,1541.708,,
,1362.622,,
,1516.132,,
,1528.342,,
,1812.355,,
,1825.828,,
,2288.729,,
,1909.746,,
,1607.057,,
,1509.242,,
,1858.733,,
,1976.968,,
,1761.895,,
,1739.803,,
,1565.340,,
,1639.992,,
,1431.003,,
,1822.608,,
,1933.405,,
,1689.561,,
,1994.271,,
,1820.641,,
,1750.448,,
,1776.682,,
,1707.149,,
,1625.496,,
,1343.355,,
,1912.620,,
,1787.965,,
,2030.773,,
,2091.878,,
,2292.230,,
,2273.727,,
,1940.416,,
,2175.420,,
,2054.380,,
,1893.727,,
,2089.727,,
,1966.147,,
,1777.486,,
,1851.339,,
,1781.078,,
,1606.875,,
,1673.394,,
,1851.592,,
,1801.122,,
,1604.377,,
,1930.272,,
,1885.550,,
,1774.910,,
,1543.790,,
,1560.002,,
,1841.119,,
,1647.450,,
,1638.774,,
,1481.631,,
,1444.477,,
,1324.478,,
,1663.644,,
,2000.636,,
,2047.130,,
,2422.969,,
,2561.111,,
,2790.535,,
,2883.378,,
,2836.892,,
,2917.693,,
,2888.558,,
,2928.604,,
,2958.953,,
,3002.279,,
,3194.139,,
,3020.295,,
,2998.042,,
,3183.448,,
,3094.273,,
,2870.908,,
,2789.400,,
,2681.840,,
,1144.990,,
,930.362,,
,1021.699,,
,1131.955,,
,1393.742,,
,1650.363,,
,1846.326,,
,1952.441,,
,2016.202,,
,1672.626,,
,1359.093,,
,1320.072,,
,1454.239,,
,1353.204,,
,1440.246,,
,1385.253,,
,1347.148,,
